10,20,30,40,50,60,70,80,90,100
UTS2R,FN3K,TRAPPC9,FBF1,ABCA10,ZNF34,MRGPRF,TEX19,CHRAC1,CEBPD
CARD14,CARD14,LYPD2,TCIM,COMMD5,LLGL2,MROH1,ADGRA2,NPLOC4,ZNF703
ARHGAP39,DNAH17,RNF213,LY6L,MRGPRF,CDK12,ASH2L,ASH2L,HGSNAT,POLB
SPEN,RECQL5,PDZK1,BAG4,CYC1,GSDMC,GAL,PPFIA1,RAB11FIP1,CBX8
KCTD2,ZHX1-C8orf76,PTEN,SIRT7,MFSD3,SLA,LY6H,GSDMC,CEBPD,ESR1
ENGASE,FADD,LLGL2,SLC45A1,SECTM1,NOTUM,LETM2,MRC2,ASPSCR1,GML
RECQL5,LLGL2,SLC9A3R1,HHLA1,ASAP1,CACNB1,GSDMC,TCIM,MRGPRF,AC110275.1
KCNK9,PLEKHA2,ASH2L,PLEC,AKT3,PLPP5,TCIM,MROH1,AC110275.1,DKK4
LLGL2,RECQL4,CARD14,PDZK1,MAPK15,CEP112,CEP112,GINS4,IDO1,UNC5D
GPAA1,KCTD2,ADAM9,ESR1,PDZK1,IDO2,ZNF34,UNC5D,TEX19,CHRAC1
PPFIA1,NEUROD2,GNB1,POMK,GSDMC,CYC1,NKX6-3,RPL8,PPFIA1,MCM4
FOXH1,TRAPPC9,BAHCC1,LYPD2,FBF1,AKT3,LLGL2,LY6H,POLB,ITFG1
ZNF517,ZNF517,ABCA9,LLGL2,PLEC,TCIM,UNC5D,CEP112,MRC2,MRGPRF
MMP23B,KCNK9,ANK1,SLC9A3R1,LY6L,NDRG1,MYEOV,CEBPD,CEP112,KCNU1
USP32,PGAP3,UNC13D,CDK12,ABCA9,PLAT,CDK12,RAB11FIP1,ZNF703,NPLOC4
GSDMC,FGFR1,BOP1,CARD14,SLC45A1,SECTM1,NDRG1,CDK12,UNC5D,NSD3
SEPTIN9,SCRT1,RECQL5,JMJD6,SFRP1,PDZK1,PDZK1,MYEOV,DKK4,GPT2
NUDT17,SCRIB,ZNF7,CPSF1,TCIM,GAL,ACTN2,ZNF34,GSDMC,NETO2
SLC45A4,ACTN2,ZHX1-C8orf76,KCNK9,CARD14,FBF1,GINS4,APOH,MROH1,ASPSCR1
TSNARE1,ERBB2,FN3K,OGFOD3,SIRT7,COMMD5,ADGRA2,PDZK1,MYEOV,MRPL21
FAAP100,HHLA1,PPFIA1,GNB1,NDRG1,ABCA9,AKT3,NDRG1,MCM4,APOH
GDPD1,JPT1,KCNK9,CACNB1,SLC9A3R1,MAPK15,NOTUM,LLGL2,APOH,PRKDC
TMEM88B,OGFOD3,OGFOD3,RNF213,CACNB1,PLEC,CYRIB,AC110275.1,NSD3,PPFIA1
JPT1,ANK1,NDRG1,UNC13D,LYPD2,MYEOV,APOH,DKK4,KCNU1,GSDMC
ST6GALNAC2,UTS2R,DNAI2,GSDMC,TRAPPC9,SLC45A1,KCNJ16,CYRIB,LY6H,MYEOV
PAK1,USP32,HHLA1,NDRG1,SLA,TRAPPC9,MCM4,HGSNAT,LLGL2,TEX19
ARMC7,PPFIA1,DNAH17,GSDMA,ANO1,MFSD3,POLB,MCM4,CYRIB,CEP112
GGA3,DNAI2,ACTN2,TRAPPC9,KCNJ16,CARD14,CACNB1,POLB,LRRC3C,MRC2
OR2T27,SLC45A4,GSDMC,ZHX1-C8orf76,MYEOV,ACTN2,CYC1,ACTN2,RPL8,LRRC3C
SUMO2,ADAM9,BAG4,ACTN2,TACC1,KCNJ16,MAPK15,KCNJ16,CDK12,GNA13
FCGR1B,GPAA1,KCTD2,GRB7,POU5F1B,TRPS1,ANO1,AKT3,ACTN2,GSDMB
CANT1,ENGASE,ZNF517,MRGPRF,OGFOD3,MLLT6,ACER3,IDO1,PSMD3,AP3M2
PLEKHN1,OXLD1,ESR1,DNAI2,KCNK9,ANO1,TRAPPC9,ANO1,GSDMB,LY6H
ADAM32,CCDC57,SCRT1,POU5F1B,JMJD6,LY6L,ABCA9,LRRC3C,GNA13,PSMD3
DNAI2,ASH2L,MIEN1,FN3K,ACTN2,ABCA10,PLEC,GSDMB,MRPL21,CYRIB
FSCN2,ARMC7,CACNB1,GDPD1,RNF213,APOH,CEBPD,CACNB1,ANO1,MROH1
OXLD1,ST6GALNAC2,GDPD1,RECQL5,TRPS1,NKX6-3,COMMD5,KCNU1,NDRG1,THRA
HHLA1,PAK1,POMK,ASAP1,DNAI2,LETM2,TRPS1,ACER3,ITFG1,BRF2
ACTN2,SEPTIN9,POU5F1B,KCNJ16,PLAT,POU5F1B,MLLT6,PSMD3,ZNF34,ACTN2
UBE2O,GDPD1,USP32,BOP1,MLLT6,SIRT7,GNA13,TRPS1,AP3M2,NDRG1
MIB2,PSMD4,JPT1,MLLT6,CEP112,MCM4,DDX5,NSD3,PDZK1,LRP5
NT5C,ABCA9,SCRIB,KCTD2,GNB1,SLC9A3R1,LRRC3C,GNA13,PRKDC,RPL8
ANK1,NUDT17,UTS2R,ANO1,CPSF1,CYRIB,FBF1,SLC45A1,NETO2,DDHD2
ZFP41,MMP23B,RECQL4,BAHCC1,UNC13D,OGFOD3,LY6L,THRA,ACER3,ACER3
C1QTNF1,GSDMC,MYEOV,ZNF7,BAHCC1,GINS4,AP3M2,MLLT6,AKT3,KCNJ16
MYC,CYP11B2,CDK12,SCRT1,ZHX1-C8orf76,PSMD3,PSMD3,NOTUM,THRA,LLGL2
TEN1,FSCN2,SLC45A4,SLA,SCRT1,AL591806.2,SECTM1,AL591806.2,KCNJ16,ZNF34
