Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A2-A0CM,0.63385034,0.8717338,0.68001676,0.6305071,0.33381566,0.7181958,0.68599105,0.5250098,0.9051027,0.713137,0.5416236,0.9544492,0.57311356,0.12496939,0.30961186,0.63392496,0.8868388,0.5868453,0.1417119,0.21535014,0.56827575,0.7860841,0.45748788,0.9185412,0.7590192,0.27298617,0.39911675,0.09300079,0.49591362,0.6182524,0.6587482,0.28520495,0.50086945,0.3215722,0.5787567,0.39724416,0.5610776,0.5540221,0.5737313,0.4188848,0.5084083,0.71299857,0.21741259,0.18522988,0.7456938,0.5796428,0.87017435,0.68133265,0.5302758,0.6943761,0.6048307,0.656271,0.64120436,0.13596164,0.08290331,0.8124383,0.43317714,0.4964127,0.2734548,0.7863311,0.7804689,0.6851764,0.24559061,0.6126907,0.28390732,0.5738225,0.74545765,0.77811545,0.5466617,0.26483563,0.33079517,0.19798055,0.7798262,0.5056497,0.82819784,0.4204958,0.7183423,0.15322813,0.12980531,0.8369498,0.85888,0.5174216,0.8361678,0.43644387,0.6025876,0.55831385,0.5399569,0.65442777,0.2947722,0.8466466,0.5025633,0.24992654,0.5713542,0.8745054,0.8364646,0.85588664,0.30417368,0.8848517,0.25039592,0.48803115
A2-A0CP,0.4719272,0.82711583,0.85798097,0.37310532,0.34782678,0.64047015,0.6585937,0.3111383,0.10021133,0.30102822,0.8955311,0.4109182,0.7040951,0.8726997,0.6778896,0.42804533,0.8496305,0.63103825,0.60863096,0.59352577,0.9099567,0.5923395,0.6105987,0.7961726,0.5020416,0.7494198,0.86207813,0.709056,0.46477193,0.60387444,0.14656614,0.44424713,0.11886414,0.2658252,0.8080841,0.27338338,0.87076426,0.6569156,0.82244825,0.77553725,0.40814418,0.7097044,0.73362684,0.807779,0.41055447,0.42715853,0.12120712,0.5417049,0.6712506,0.5876071,0.76351607,0.7197617,0.28765488,0.69102263,0.46105778,0.71848756,0.19940186,0.51534575,0.52057594,0.613909,0.4512654,0.71751106,0.7216387,0.41526425,0.4745445,0.09459176,0.53815365,0.45290834,0.61252356,0.18791,0.6942414,0.3686634,0.6061939,0.23152126,0.36665043,0.3918219,0.4572454,0.8126596,0.5788777,0.77837193,0.12024719,0.59821755,0.56924784,0.26058185,0.46783435,0.20366514,0.7840184,0.5453522,0.53828096,0.76264334,0.48230237,0.50472146,0.70333743,0.16573918,0.2863388,0.12970388,0.85620224,0.62354994,0.7560568,0.36810055
A2-A0CS,0.73788893,0.195861,0.88500327,0.5759127,0.8048854,0.61317235,0.28822827,0.6060885,0.37865925,0.22654879,0.75163597,0.6137359,0.3615633,0.8716818,0.5175517,0.4841782,0.73638874,0.67275834,0.66255045,0.6794976,0.904712,0.8334161,0.63136137,0.28036147,0.49181134,0.56892926,0.62971,0.50676733,0.12622982,0.66824865,0.1538001,0.46387628,0.4074595,0.31527478,0.8926454,0.57800627,0.8623334,0.5458492,0.6217394,0.70678896,0.6950336,0.62860703,0.3926398,0.912607,0.6022196,0.41305107,0.20927379,0.45412204,0.7230372,0.76212096,0.6265376,0.44344214,0.5531516,0.919742,0.41839758,0.4676869,0.75638616,0.22032118,0.80502856,0.7238205,0.64335376,0.26327586,0.703665,0.4357661,0.84967875,0.14104214,0.1811772,0.20768474,0.74766684,0.23281708,0.7313151,0.5316796,0.5100965,0.5972103,0.57743794,0.612214,0.6572418,0.7258175,0.5032753,0.805889,0.24826054,0.66031146,0.44009018,0.5227178,0.12565367,0.4708765,0.4806466,0.21383926,0.65766025,0.76372534,0.3886011,0.663262,0.6932642,0.2616915,0.20540865,0.19617814,0.76506597,0.7183846,0.86170816,0.15291482
A2-A0CX,0.64685524,0.24087127,0.39496124,0.26472235,0.78668296,0.5058248,0.29363698,0.4371094,0.1744917,0.3929388,0.21319021,0.36546147,0.653231,0.8587544,0.6147091,0.7544787,0.65420127,0.9014783,0.37013668,0.402658,0.4530751,0.6118575,0.65243584,0.60258585,0.7250635,0.8800855,0.39083064,0.323857,0.16362834,0.299867,0.3781682,0.7118161,0.5307383,0.17273572,0.5708761,0.4406758,0.4436581,0.32675296,0.80151254,0.46269703,0.84213996,0.7141166,0.6583544,0.6029838,0.90343094,0.27165437,0.44103104,0.63671136,0.6080822,0.7523042,0.6837921,0.86074567,0.2805696,0.6052357,0.7078294,0.87975883,0.88564396,0.31086323,0.42004594,0.27122745,0.71890056,0.5601822,0.31077123,0.711934,0.5582359,0.58680576,0.1560486,0.3843763,0.49119693,0.49631202,0.52890563,0.3996757,0.85434204,0.8554673,0.34630224,0.8056081,0.7981978,0.57929206,0.1657084,0.41900903,0.41628283,0.71306795,0.62722415,0.7088327,0.86335766,0.34111255,0.39343965,0.44515583,0.7714554,0.5949664,0.83633995,0.6839293,0.43083283,0.3120324,0.5650382,0.36855048,0.7927199,0.51460296,0.55670285,0.5410336
A2-A0D0,0.9122878,0.4364535,0.5290471,0.60401994,0.73473036,0.7984239,0.59219474,0.77046573,0.51401186,0.8718946,0.5662222,0.85569894,0.57569987,0.41306442,0.09777902,0.0892172,0.77437097,0.6736237,0.20928556,0.17186737,0.94168603,0.21605475,0.42436993,0.8776618,0.8811796,0.676073,0.20861077,0.07721093,0.16321069,0.3584252,0.8470908,0.17663084,0.1413324,0.27072152,0.7906318,0.1583078,0.7671633,0.49071094,0.82410663,0.83535886,0.09809765,0.78068376,0.38152206,0.25526765,0.9335274,0.8180909,0.47896153,0.53066623,0.07394456,0.79510325,0.6048373,0.4148516,0.32474405,0.18519957,0.24047214,0.9218337,0.09988222,0.5766245,0.21317875,0.9554752,0.7845786,0.20019028,0.86594206,0.13113292,0.40141237,0.38431883,0.8362284,0.8658782,0.17666201,0.22672762,0.15523776,0.17460573,0.61844677,0.12005556,0.900895,0.60722363,0.16356653,0.4687931,0.26277316,0.8729546,0.7121599,0.6482942,0.735847,0.14670473,0.8863114,0.38712972,0.13434704,0.81506395,0.22359341,0.9137538,0.92476106,0.58351433,0.24945158,0.57924426,0.76102173,0.3795094,0.7306906,0.8327317,0.27357212,0.828319
A2-A0D2,0.7968283,0.87078124,0.46697074,0.7566538,0.4844125,0.24067177,0.7287068,0.5268265,0.6207117,0.76536226,0.5521811,0.7896022,0.8159652,0.37757146,0.16364671,0.34926182,0.89047337,0.6153668,0.6091726,0.2908632,0.7251569,0.39193305,0.6204439,0.5814837,0.82649803,0.60483783,0.2820834,0.25733325,0.33759907,0.4127569,0.8157008,0.23324236,0.2087647,0.27613103,0.49502203,0.18508147,0.36995316,0.80991274,0.6657441,0.6532109,0.24322763,0.616889,0.5613321,0.4491967,0.7888471,0.7275307,0.7873168,0.6690343,0.2664879,0.6095801,0.38061965,0.43129283,0.2601213,0.31138268,0.1624521,0.80225235,0.463235,0.52285546,0.16654536,0.6601395,0.82785505,0.69198334,0.24628495,0.13434285,0.6599991,0.72969925,0.7899264,0.5454867,0.2582029,0.2160011,0.5887627,0.20864719,0.8247813,0.24289984,0.8388982,0.42765343,0.5741481,0.7657493,0.24937215,0.81061697,0.81672037,0.64204067,0.77446574,0.16694573,0.8774524,0.45181227,0.29695067,0.85294235,0.24976037,0.92548573,0.69848174,0.22777995,0.65163237,0.5963588,0.8647189,0.45612687,0.69956243,0.56519556,0.5815852,0.7360995
A2-A0D3,0.8284664,0.21281937,0.6274159,0.44121927,0.46731794,0.58977306,0.37604606,0.70820254,0.8593002,0.72699237,0.672126,0.26722002,0.47037268,0.5653768,0.43611255,0.5491484,0.31158713,0.7259957,0.66900074,0.7996811,0.41798067,0.8730154,0.5819172,0.37781945,0.44438708,0.5974909,0.5115359,0.7423703,0.2588573,0.8999873,0.45392102,0.5180058,0.54064333,0.6417936,0.67791784,0.56150424,0.8601663,0.36499617,0.8853196,0.42636013,0.47183818,0.8281511,0.6871958,0.521384,0.25598016,0.2413239,0.09955706,0.74119556,0.86792225,0.7718134,0.3513538,0.55471236,0.54868567,0.7231562,0.35887316,0.1482391,0.86611384,0.4690033,0.7862668,0.77019227,0.33523312,0.78596765,0.72249496,0.3344152,0.87490916,0.57485783,0.35793045,0.65381974,0.7062658,0.7928576,0.26927692,0.5328602,0.23069799,0.73844224,0.41307503,0.5669845,0.6759302,0.46280387,0.68430924,0.7218842,0.39368966,0.7256971,0.4101128,0.69514143,0.2518074,0.5794236,0.5406463,0.37342948,0.26703095,0.16533501,0.5960876,0.7987656,0.3058114,0.72888494,0.20789796,0.3468828,0.17297892,0.8876165,0.7938303,0.1615977
A2-A0EO,0.17313817,0.5742963,0.8711835,0.1534771,0.5004283,0.36082512,0.65964806,0.3444276,0.3362718,0.7461945,0.7961263,0.67090863,0.716368,0.81177574,0.54188985,0.7807196,0.7639395,0.66945434,0.59504414,0.48259068,0.80888486,0.6682682,0.7287109,0.47562632,0.25176883,0.49703574,0.8063355,0.45296377,0.38167322,0.8761073,0.3885938,0.5449264,0.49589232,0.5979581,0.6432734,0.4497612,0.70246226,0.5578622,0.5884635,0.26217043,0.84185743,0.7505015,0.8440069,0.9085191,0.36272743,0.14997502,0.17568663,0.4716417,0.72864366,0.5409611,0.7567069,0.7190558,0.72402936,0.7443122,0.7098774,0.7462423,0.64936405,0.5281202,0.42186695,0.35666475,0.5294328,0.6127368,0.46571064,0.69825816,0.46969256,0.61618817,0.24242178,0.40936548,0.6631913,0.2707088,0.48504224,0.5389314,0.6727685,0.32456344,0.28138372,0.5393703,0.47385678,0.8341061,0.63362426,0.44056666,0.18385883,0.8391913,0.34628108,0.50406057,0.4849029,0.39112386,0.7274394,0.35324737,0.6128586,0.497314,0.43672508,0.4271945,0.5658648,0.2998079,0.34370825,0.2054908,0.4918148,0.55855674,0.71948934,0.45332974
A2-A0ES,0.179876,0.8054601,0.7477344,0.39732876,0.36133474,0.4690398,0.8570738,0.66895276,0.46051183,0.35618412,0.5966911,0.75135845,0.8212281,0.916671,0.7142618,0.6712135,0.50692517,0.4383561,0.63927597,0.30683765,0.7745813,0.6805978,0.6627798,0.58684015,0.42257953,0.26670218,0.882319,0.88628876,0.7554841,0.6702589,0.5481033,0.5631893,0.44260183,0.91691685,0.40892035,0.55472666,0.4812149,0.6290919,0.58996034,0.16276294,0.49873114,0.56952715,0.8358756,0.7559821,0.13697144,0.18322235,0.30585277,0.5535793,0.76046807,0.38248682,0.39772677,0.25252703,0.64989847,0.56294894,0.7983799,0.40151656,0.2251544,0.8034743,0.57747185,0.5058116,0.266276,0.8594252,0.62865627,0.5872636,0.6419407,0.75324756,0.64822865,0.29516244,0.31429133,0.8371702,0.7700263,0.3407578,0.50058776,0.14557639,0.3699161,0.7234678,0.53082335,0.8592849,0.7874045,0.5417318,0.25981104,0.7018949,0.42058322,0.61628234,0.7885946,0.6431433,0.83069444,0.75480866,0.3687293,0.22344388,0.5729978,0.24898365,0.63062054,0.4974049,0.24944305,0.36583993,0.18967319,0.4577198,0.53746206,0.71458554
A2-A0EU,0.69714886,0.4719259,0.7340706,0.5836472,0.19097924,0.87363636,0.6407791,0.34970748,0.7016595,0.626056,0.8920337,0.43239093,0.5107558,0.52007025,0.64346415,0.7035344,0.63829404,0.4580129,0.6075137,0.791366,0.3436497,0.60320586,0.5880908,0.6507044,0.3770423,0.5275103,0.76755846,0.8638173,0.8190615,0.61629367,0.3640329,0.87690985,0.70020646,0.50060153,0.56762815,0.9041097,0.7712981,0.6664386,0.16078296,0.79258704,0.21313453,0.43434605,0.9077736,0.6692444,0.39353746,0.8716997,0.56393075,0.48954856,0.47980052,0.17325425,0.80904466,0.7065341,0.3894708,0.5954342,0.6698996,0.6606921,0.2324296,0.8031831,0.5340777,0.8581718,0.40004265,0.59215033,0.8313018,0.67601645,0.29554212,0.24223214,0.895249,0.64998794,0.6820681,0.6486391,0.40181828,0.6539291,0.24572518,0.4245646,0.34703726,0.29764265,0.14084944,0.60692567,0.7922908,0.4129023,0.5039296,0.3231207,0.3746002,0.44021407,0.33012703,0.33630553,0.29946798,0.3732435,0.6949146,0.60258484,0.67684084,0.54867274,0.73485017,0.729553,0.3425064,0.16382518,0.8541976,0.14140174,0.65528494,0.6040064
