epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
GML_y,FNTA_y,FNTA_y,FNTA_y,FNTA_y,FNTA_y,FNTA_y,FNTA_y,FNTA_y,FNTA_y
NPLOC4_y,PPP1R1B_y,PPP1R1B_y,PPP1R1B_y,PPP1R1B_y,PPP1R1B_y,PPP1R1B_y,PPP1R1B_y,KAT6A_y,KAT6A_y
RPL8_y,GML_y,ADAM32_y,TCAP_y,TCAP_y,TCAP_y,KAT6A_y,KAT6A_y,PPP1R1B_y,ADAM2_y
MROH1_y,TEX19_y,GML_y,STARD3_y,STARD3_y,ERBB2_y,TCAP_y,ADAM2_y,ADAM2_y,PPP1R1B_y
IKBKB_y,NPLOC4_y,TCAP_y,KAT6A_y,KAT6A_y,STARD3_y,ERBB2_y,ERBB2_y,TM2D2_y,ERBB2_y
ASPSCR1_y,RPL8_y,EIF4EBP1_y,ERBB2_y,ERBB2_y,KAT6A_y,ADAM2_y,TCAP_y,ERBB2_y,ZMAT4_y
EIF4EBP1_y,IKBKB_y,NPLOC4_y,EIF4EBP1_y,PGAP3_y,ADAM2_y,STARD3_y,TM2D2_y,TCAP_y,TM2D2_y
CHRAC1_y,EIF4EBP1_y,TEX19_y,ADAM2_y,ADAM2_y,PGAP3_y,TM2D2_y,STARD3_y,ZMAT4_y,TCAP_y
LY6H_y,MROH1_y,KAT6A_y,PGAP3_y,PNMT_y,TM2D2_y,PGAP3_y,PGAP3_y,STARD3_y,GOLGA7_y
CYC1_y,CHRAC1_y,IKBKB_y,TM2D2_y,EIF4EBP1_y,PNMT_y,MIEN1_y,MIEN1_y,HTRA4_y,STARD3_y
TEX19_y,ASPSCR1_y,STARD3_y,IKBKB_y,TM2D2_y,MIEN1_y,PNMT_y,ZMAT4_y,PGAP3_y,GPAT4_y
COMMD5_y,B3GNTL1_y,TM2D2_y,ADAM32_y,IKBKB_y,EIF4EBP1_y,EIF4EBP1_y,HTRA4_y,GPAT4_y,HTRA4_y
FNTA_y,ZMAT4_y,ADAM2_y,PNMT_y,MIEN1_y,ADAM32_y,IKBKB_y,EIF4EBP1_y,GOLGA7_y,MIEN1_y
BOP1_y,ADAM32_y,ADAM18_y,GML_y,ADAM32_y,IKZF3_y,IKZF3_y,PNMT_y,MIEN1_y,PGAP3_y
CBX8_y,CCDC40_y,ZMAT4_y,NEUROD2_y,IKZF3_y,IKBKB_y,ADAM32_y,IKBKB_y,EIF4EBP1_y,IKBKB_y
PPP1R1B_y,ADAM18_y,RPL8_y,ZMAT4_y,NEUROD2_y,HTRA4_y,ZPBP2_y,GPAT4_y,IKBKB_y,EIF4EBP1_y
B3GNTL1_y,COMMD5_y,CHRAC1_y,ADAM18_y,PTEN_y,ZPBP2_y,HTRA4_y,ADAM32_y,PLEKHA2_y,ANK1_y
SIRT7_y,MFSD3_y,ERBB2_y,NPLOC4_y,ZPBP2_y,NEUROD2_y,ZMAT4_y,IKZF3_y,IKZF3_y,ZPBP2_y
TCIM_y,KAT6A_y,CCDC40_y,CCDC40_y,ZMAT4_y,PTEN_y,GPAT4_y,ZPBP2_y,ZPBP2_y,FGFR1_y
MFSD3_y,LY6H_y,PGAP3_y,HTRA4_y,HTRA4_y,ZMAT4_y,FGFR1_y,GOLGA7_y,ADAM32_y,PLEKHA2_y
CCDC40_y,ZNF34_y,B3GNTL1_y,PTEN_y,GPAT4_y,GPAT4_y,PTEN_y,PLEKHA2_y,FGFR1_y,IKZF3_y
PLEC_y,CYC1_y,ASPSCR1_y,TEX19_y,CCDC40_y,FGFR1_y,PLEKHA2_y,FGFR1_y,PNMT_y,PNMT_y
ZNF34_y,SIRT7_y,MROH1_y,B3GNTL1_y,FGFR1_y,PLEKHA2_y,GOLGA7_y,ANK1_y,ANK1_y,ADAM32_y
FBF1_y,TCIM_y,HTRA4_y,MIEN1_y,GML_y,GOLGA7_y,NEUROD2_y,PTEN_y,PTEN_y,SFRP1_y
JMJD6_y,CBX8_y,NEUROD2_y,IKZF3_y,PLEKHA2_y,CCDC40_y,ANK1_y,NEUROD2_y,SFRP1_y,IDO2_y
UNC13D_y,PLEC_y,PNMT_y,RPL8_y,NPLOC4_y,ANK1_y,SFRP1_y,TACC1_y,TACC1_y,TACC1_y
LYPD2_y,SLC45A1_y,MYC_y,CHRAC1_y,TEX19_y,ADAM18_y,FADD_y,SFRP1_y,BAG4_y,POMK_y
ZMAT4_y,ABCA10_y,PLEKHA2_y,PLEKHA2_y,MYC_y,MYC_y,CCDC40_y,BAG4_y,NEUROD2_y,PTEN_y
BAHCC1_y,ADAM2_y,LY6H_y,FGFR1_y,ADAM18_y,GML_y,B3GNTL1_y,ADAM18_y,POMK_y,BAG4_y
MAPK15_y,AKT3_y,MFSD3_y,MYC_y,B3GNTL1_y,FADD_y,BAG4_y,ADAM9_y,IDO2_y,PLPP5_y
NOTUM_y,NOTUM_y,ZNF34_y,ZPBP2_y,FADD_y,B3GNTL1_y,ADAM18_y,IDO2_y,PLPP5_y,NEUROD2_y
AKT3_y,HTRA4_y,COMMD5_y,ASPSCR1_y,ASPSCR1_y,NPLOC4_y,GML_y,POMK_y,ADAM9_y,ADAM9_y
GPAT4_y,MAPK15_y,ABCA10_y,MROH1_y,CHRAC1_y,ASPSCR1_y,ADAM9_y,B3GNTL1_y,ADAM18_y,ADAM18_y
CPSF1_y,FBF1_y,FGFR1_y,FADD_y,RPL8_y,TEX19_y,TACC1_y,FADD_y,B3GNTL1_y,LETM2_y
PDZK1_y,JMJD6_y,CYC1_y,GPAT4_y,ANK1_y,ADAM9_y,POMK_y,PLPP5_y,LETM2_y,PLAT_y
SLC9A3R1_y,LY6L_y,FADD_y,LY6H_y,GOLGA7_y,CBX8_y,MYC_y,CCDC40_y,FADD_y,TCIM_y
NDRG1_y,CPSF1_y,CBX8_y,ZNF34_y,MROH1_y,GRB7_y,HHLA1_y,MYC_y,PLAT_y,NKX6-3_y
