epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
LY6L_y,STARD3_y,NOTUM_y,CBX8_y,CBX8_y,CHRAC1_y,NPLOC4_y,GML_y,MYC_y,B3GNTL1_y
ZNF7_y,TCAP_y,MAPK15_y,ASH2L_y,BAG4_y,BAG4_y,GRB7_y,HHLA1_y,CCDC40_y,ADGRA2_y
ABCA10_y,RNF213_y,SIRT7_y,ABCA10_y,LY6H_y,SFRP1_y,CBX8_y,GRB7_y,ADGRA2_y,GAL_y
KAT6A_y,BOP1_y,TCIM_y,MFSD3_y,ASH2L_y,RPL8_y,IDO2_y,LETM2_y,HHLA1_y,HGSNAT_y
GNB1_y,SECTM1_y,LY6L_y,MRC2_y,ZNF34_y,HHLA1_y,CHRAC1_y,ASAP1_y,TCIM_y,FADD_y
SLC45A1_y,LYPD2_y,AKT3_y,NOTUM_y,HHLA1_y,POMK_y,PLPP5_y,CBX8_y,NKX6-3_y,MYC_y
SCRT1_y,TM2D2_y,SLC45A1_y,COMMD5_y,MRC2_y,MROH1_y,GSDMA_y,GSDMA_y,ASAP1_y,SLA_y
CCDC57_y,BAHCC1_y,IKZF3_y,ANK1_y,PPFIA1_y,TACC1_y,ASPSCR1_y,SLA_y,GAL_y,HHLA1_y
RECQL4_y,MYC_y,PLEC_y,CYC1_y,GRB7_y,ASAP1_y,ASAP1_y,NPLOC4_y,GML_y,RAB11FIP1_y
DNAH17_y,SLC9A3R1_y,GPAT4_y,SECTM1_y,ADAM9_y,GSDMA_y,ESR1_y,CHRAC1_y,SLA_y,GRB7_y
FN3K_y,GNB1_y,FBF1_y,MAPK15_y,ESR1_y,MRC2_y,TEX19_y,ESR1_y,GSDMA_y,ASAP1_y
SCRIB_y,UNC13D_y,SECTM1_y,AKT3_y,POMK_y,ESR1_y,PPFIA1_y,ASPSCR1_y,GRB7_y,GSDMA_y
RNF213_y,GPAT4_y,MRC2_y,GOLGA7_y,GSDMA_y,PPFIA1_y,SLA_y,PLAT_y,CBX8_y,IDO1_y
SECTM1_y,ZNF7_y,ZPBP2_y,ABCA9_y,NOTUM_y,ASH2L_y,RPL8_y,GAL_y,GINS4_y,ASH2L_y
ZHX1-C8orf76_y,PDZK1_y,CPSF1_y,ADAM9_y,LLGL2_y,LY6H_y,MRC2_y,NKX6-3_y,ESR1_y,GINS4_y
ADAM18_y,NDRG1_y,JMJD6_y,PPFIA1_y,CDK12_y,MRGPRF_y,PLAT_y,MRGPRF_y,ASH2L_y,CCDC40_y
UTS2R_y,FN3K_y,TRAPPC9_y,FBF1_y,ABCA10_y,ZNF34_y,MRGPRF_y,TEX19_y,CHRAC1_y,CEBPD_y
CARD14_y,CARD14_y,LYPD2_y,TCIM_y,COMMD5_y,LLGL2_y,MROH1_y,ADGRA2_y,NPLOC4_y,ZNF703_y
ARHGAP39_y,DNAH17_y,RNF213_y,LY6L_y,MRGPRF_y,CDK12_y,ASH2L_y,ASH2L_y,HGSNAT_y,POLB_y
SPEN_y,RECQL5_y,PDZK1_y,BAG4_y,CYC1_y,GSDMC_y,GAL_y,PPFIA1_y,RAB11FIP1_y,CBX8_y
KCTD2_y,ZHX1-C8orf76_y,PTEN_y,SIRT7_y,MFSD3_y,SLA_y,LY6H_y,GSDMC_y,CEBPD_y,ESR1_y
ENGASE_y,FADD_y,LLGL2_y,SLC45A1_y,SECTM1_y,NOTUM_y,LETM2_y,MRC2_y,ASPSCR1_y,GML_y
RECQL5_y,LLGL2_y,SLC9A3R1_y,HHLA1_y,ASAP1_y,CACNB1_y,GSDMC_y,TCIM_y,MRGPRF_y,AC110275.1_y
KCNK9_y,PLEKHA2_y,ASH2L_y,PLEC_y,AKT3_y,PLPP5_y,TCIM_y,MROH1_y,AC110275.1_y,DKK4_y
LLGL2_y,RECQL4_y,CARD14_y,PDZK1_y,MAPK15_y,CEP112_y,CEP112_y,GINS4_y,IDO1_y,UNC5D_y
GPAA1_y,KCTD2_y,ADAM9_y,ESR1_y,PDZK1_y,IDO2_y,ZNF34_y,UNC5D_y,TEX19_y,CHRAC1_y
PPFIA1_y,NEUROD2_y,GNB1_y,POMK_y,GSDMC_y,CYC1_y,NKX6-3_y,RPL8_y,PPFIA1_y,MCM4_y
FOXH1_y,TRAPPC9_y,BAHCC1_y,LYPD2_y,FBF1_y,AKT3_y,LLGL2_y,LY6H_y,POLB_y,ITFG1_y
ZNF517_y,ZNF517_y,ABCA9_y,LLGL2_y,PLEC_y,TCIM_y,UNC5D_y,CEP112_y,MRC2_y,MRGPRF_y
MMP23B_y,KCNK9_y,ANK1_y,SLC9A3R1_y,LY6L_y,NDRG1_y,MYEOV_y,CEBPD_y,CEP112_y,KCNU1_y
USP32_y,PGAP3_y,UNC13D_y,CDK12_y,ABCA9_y,PLAT_y,CDK12_y,RAB11FIP1_y,ZNF703_y,NPLOC4_y
GSDMC_y,FGFR1_y,BOP1_y,CARD14_y,SLC45A1_y,SECTM1_y,NDRG1_y,CDK12_y,UNC5D_y,NSD3_y
SEPTIN9_y,SCRT1_y,RECQL5_y,JMJD6_y,SFRP1_y,PDZK1_y,PDZK1_y,MYEOV_y,DKK4_y,GPT2_y
NUDT17_y,SCRIB_y,ZNF7_y,CPSF1_y,TCIM_y,GAL_y,ACTN2_y,ZNF34_y,GSDMC_y,NETO2_y
SLC45A4_y,ACTN2_y,ZHX1-C8orf76_y,KCNK9_y,CARD14_y,FBF1_y,GINS4_y,APOH_y,MROH1_y,ASPSCR1_y
TSNARE1_y,ERBB2_y,FN3K_y,OGFOD3_y,SIRT7_y,COMMD5_y,ADGRA2_y,PDZK1_y,MYEOV_y,MRPL21_y
FAAP100_y,HHLA1_y,PPFIA1_y,GNB1_y,NDRG1_y,ABCA9_y,AKT3_y,NDRG1_y,MCM4_y,APOH_y
GDPD1_y,JPT1_y,KCNK9_y,CACNB1_y,SLC9A3R1_y,MAPK15_y,NOTUM_y,LLGL2_y,APOH_y,PRKDC_y
TMEM88B_y,OGFOD3_y,OGFOD3_y,RNF213_y,CACNB1_y,PLEC_y,CYRIB_y,AC110275.1_y,NSD3_y,PPFIA1_y
JPT1_y,ANK1_y,NDRG1_y,UNC13D_y,LYPD2_y,MYEOV_y,APOH_y,DKK4_y,KCNU1_y,GSDMC_y
ST6GALNAC2_y,UTS2R_y,DNAI2_y,GSDMC_y,TRAPPC9_y,SLC45A1_y,KCNJ16_y,CYRIB_y,LY6H_y,MYEOV_y
PAK1_y,USP32_y,HHLA1_y,NDRG1_y,SLA_y,TRAPPC9_y,MCM4_y,HGSNAT_y,LLGL2_y,TEX19_y
ARMC7_y,PPFIA1_y,DNAH17_y,GSDMA_y,ANO1_y,MFSD3_y,POLB_y,MCM4_y,CYRIB_y,CEP112_y
GGA3_y,DNAI2_y,ACTN2_y,TRAPPC9_y,KCNJ16_y,CARD14_y,CACNB1_y,POLB_y,LRRC3C_y,MRC2_y
OR2T27_y,SLC45A4_y,GSDMC_y,ZHX1-C8orf76_y,MYEOV_y,ACTN2_y,CYC1_y,ACTN2_y,RPL8_y,LRRC3C_y
SUMO2_y,ADAM9_y,BAG4_y,ACTN2_y,TACC1_y,KCNJ16_y,MAPK15_y,KCNJ16_y,CDK12_y,GNA13_y
FCGR1B_y,GPAA1_y,KCTD2_y,GRB7_y,POU5F1B_y,TRPS1_y,ANO1_y,AKT3_y,ACTN2_y,GSDMB_y
CANT1_y,ENGASE_y,ZNF517_y,MRGPRF_y,OGFOD3_y,MLLT6_y,ACER3_y,IDO1_y,PSMD3_y,AP3M2_y
PLEKHN1_y,OXLD1_y,ESR1_y,DNAI2_y,KCNK9_y,ANO1_y,TRAPPC9_y,ANO1_y,GSDMB_y,LY6H_y
ADAM32_y,CCDC57_y,SCRT1_y,POU5F1B_y,JMJD6_y,LY6L_y,ABCA9_y,LRRC3C_y,GNA13_y,PSMD3_y
DNAI2_y,ASH2L_y,MIEN1_y,FN3K_y,ACTN2_y,ABCA10_y,PLEC_y,GSDMB_y,MRPL21_y,CYRIB_y
FSCN2_y,ARMC7_y,CACNB1_y,GDPD1_y,RNF213_y,APOH_y,CEBPD_y,CACNB1_y,ANO1_y,MROH1_y
OXLD1_y,ST6GALNAC2_y,GDPD1_y,RECQL5_y,TRPS1_y,NKX6-3_y,COMMD5_y,KCNU1_y,NDRG1_y,THRA_y
HHLA1_y,PAK1_y,POMK_y,ASAP1_y,DNAI2_y,LETM2_y,TRPS1_y,ACER3_y,ITFG1_y,BRF2_y
ACTN2_y,SEPTIN9_y,POU5F1B_y,KCNJ16_y,PLAT_y,POU5F1B_y,MLLT6_y,PSMD3_y,ZNF34_y,ACTN2_y
UBE2O_y,GDPD1_y,USP32_y,BOP1_y,MLLT6_y,SIRT7_y,GNA13_y,TRPS1_y,AP3M2_y,NDRG1_y
MIB2_y,PSMD4_y,JPT1_y,MLLT6_y,CEP112_y,MCM4_y,DDX5_y,NSD3_y,PDZK1_y,LRP5_y
NT5C_y,ABCA9_y,SCRIB_y,KCTD2_y,GNB1_y,SLC9A3R1_y,LRRC3C_y,GNA13_y,PRKDC_y,RPL8_y
ANK1_y,NUDT17_y,UTS2R_y,ANO1_y,CPSF1_y,CYRIB_y,FBF1_y,SLC45A1_y,NETO2_y,DDHD2_y
ZFP41_y,MMP23B_y,RECQL4_y,BAHCC1_y,UNC13D_y,OGFOD3_y,LY6L_y,THRA_y,ACER3_y,ACER3_y
C1QTNF1_y,GSDMC_y,MYEOV_y,ZNF7_y,BAHCC1_y,GINS4_y,AP3M2_y,MLLT6_y,AKT3_y,KCNJ16_y
MYC_y,CYP11B2_y,CDK12_y,SCRT1_y,ZHX1-C8orf76_y,PSMD3_y,PSMD3_y,NOTUM_y,THRA_y,LLGL2_y
TEN1_y,FSCN2_y,SLC45A4_y,SLA_y,SCRT1_y,AL591806.2_y,SECTM1_y,AL591806.2_y,KCNJ16_y,ZNF34_y
