10,20,30,40,50,60,70,80,90,100
MMP1,TFAP2B,GABRP,SUSD3,SLITRK6,SLITRK6,FOXA1,KRT16,IGLL5,IGLL5
CP,SLITRK6,SLITRK6,S100P,SCGB2A1,CA12,CP,MAOB,KRT16,SLITRK6
SLITRK6,CXCL13,TFAP2B,CP,CRISP3,CRISP3,SLITRK6,CHAD,SLITRK6,GP2
SUSD3,MMP1,MMP1,GABRP,TFAP2B,CP,MAOB,SLITRK6,TCN1,WFDC2
CXCL13,CP,CP,DCD,SUSD3,MAOB,IGLL5,FOXA1,MAOB,MAOB
JCHAIN,WFDC2,CCL19,TFAP2B,CP,IGLL5,CA12,IGLL5,ALOX15B,ALOX15B
GP2,CCL19,WFDC2,CCL19,MAOB,SCGB2A1,SUSD3,TCN1,ERBB2,ERBB2
CXCL14,JCHAIN,S100P,ERBB2,IGLL5,SUSD3,ALOX15B,DHRS2,FOXA1,KRT16
MTRNR2L1,S100P,KCNJ3,WFDC2,KCNJ3,KCNJ3,SCGB2A1,ALOX15B,CHAD,KCNJ3
PROM1,MAOB,MAOB,KCNJ3,GABRP,WFDC2,TCN1,SUSD3,KCNJ3,HMGCS2
KLK5,KCNJ3,DCD,MAOB,CCL19,ALOX15B,DHRS2,CA12,SUSD3,FOXA1
CEACAM5,SLC44A4,S100A1,MMP1,WFDC2,GABRP,KCNJ3,WFDC2,WFDC2,SUSD3
KRT81,S100A1,SLC44A4,S100A1,ALOX15B,MMP1,CDH1,KCNJ3,CA12,CHAD
CCL19,PROM1,IGLL5,IGLL5,KRT81,DHRS2,WFDC2,SCGB2A1,SCGB2A1,KRT6B
DHRS2,IGLL5,DHRS2,DNALI1,MMP1,CCL19,CCL19,KRT6B,KRT6B,SCGB2A1
KCNJ3,AQP5,HMGCS2,SLC44A4,DNALI1,TCN1,MMP1,HMGCS2,HMGCS2,CA12
KRT15,DCD,PROM1,DHRS2,S100A1,DNALI1,KRT6B,MMP1,GSTM1,SHISA2
IGLL5,DHRS2,KRT81,KRT81,DHRS2,KRT81,GABRP,CCL19,MMP1,MMP1
DCD,CXCL14,AQP5,ALOX15B,SLC44A4,SLC44A4,DNALI1,GABRP,GABRP,GABRP
AQP5,HMGCS2,JCHAIN,AQP5,PRAME,S100A1,HMGCS2,GSTM1,SLC1A1,SLC1A1
SLC44A4,CEACAM5,DNALI1,HMGCS2,OBP2B,PRAME,SLC1A1,DNALI1,CCL19,KRT15
KRT6B,KRT15,ALOX15B,PROM1,KRT6B,SLC1A1,KRT81,SLC1A1,CST9,CST9
S100A1,KRT81,SPDEF,OBP2B,AQP5,GSTM1,GSTM1,KRT81,SHISA2,CCL19
NKAIN1,ALOX15B,OBP2B,JCHAIN,SLC1A1,OBP2B,SLC44A4,CST9,DNALI1,JCHAIN
HMGCS2,KRT6B,SLC39A6,KRT6B,TCN1,KRT6B,S100A1,SLC44A4,SLC44A4,IGFBP2
BEX1,SPDEF,CEACAM5,PRAME,JCHAIN,JCHAIN,JCHAIN,OBP2B,OBP2B,GSTM1
ALOX15B,SLC39A6,KRT6B,SLC1A1,HMGCS2,HMGCS2,PRAME,JCHAIN,KRT15,APOD
SPDEF,NKAIN1,ERBB2,SPDEF,PROM1,AQP5,OBP2B,HLA-DQA2,CEACAM5,CEACAM5
SHISA2,OBP2B,CXCL14,CEACAM5,HLA-DQA2,CST9,HLA-DQA2,SHISA2,KRT81,SLC44A4
CLSTN2,CLSTN2,KRT15,SLC39A6,GSTM1,HLA-DQA2,CST9,S100A1,HLA-DQA2,DNALI1
GSTM1,DNALI1,NKAIN1,SHISA2,CEACAM5,CDH1,CEACAM5,OLFM4,APOD,OBP2B
SLC39A6,CACNG4,PRAME,TCN1,CST9,PROM1,AQP5,PRAME,JCHAIN,KRT81
