epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
SCGB2A2_x,SCGB2A2_x,SCGB2A2_x,CLEC3A_x,CLEC3A_x,CLEC3A_x,CLEC3A_x,CLEC3A_x,CLEC3A_x,CLEC3A_x
TFF1_x,TFF1_x,CLEC3A_x,SCGB2A2_x,SCGB2A2_x,SCGB2A2_x,SCGB2A2_x,SCGB2A2_x,SCGB2A2_x,SCGB2A2_x
SCGB1D2_x,CLEC3A_x,TFF1_x,CPB1_x,CPB1_x,CPB1_x,CPB1_x,CPB1_x,CPB1_x,CPB1_x
LTF_x,CPB1_x,CPB1_x,TFF1_x,TFF1_x,TFF1_x,TFF1_x,TFF1_x,TFF1_x,TFF1_x
CPB1_x,SCGB1D2_x,PIP_x,PIP_x,PIP_x,PIP_x,PIP_x,PIP_x,PIP_x,PIP_x
PIP_x,AGR2_x,AGR2_x,AGR2_x,AGR2_x,AGR2_x,AGR2_x,CEACAM6_x,CEACAM6_x,CEACAM6_x
S100A7_x,PIP_x,SCGB1D2_x,SCGB1D2_x,SCGB1D2_x,SCGB1D2_x,SCGB1D2_x,AGR2_x,LTF_x,LTF_x
AGR2_x,LTF_x,LTF_x,LTF_x,LTF_x,LTF_x,LTF_x,LTF_x,SCGB1D2_x,AGR2_x
CEACAM6_x,S100A7_x,S100A7_x,S100A7_x,CEACAM6_x,CEACAM6_x,CEACAM6_x,SCGB1D2_x,AGR2_x,SCGB1D2_x
CLEC3A_x,CEACAM6_x,CEACAM6_x,CEACAM6_x,S100A7_x,S100A7_x,FDCSP_x,FDCSP_x,FDCSP_x,FDCSP_x
NPY1R_x,NPY1R_x,NPY1R_x,NPY1R_x,NPY1R_x,FDCSP_x,S100A7_x,S100A7_x,S100A7_x,NPY1R_x
FDCSP_x,FDCSP_x,FDCSP_x,FDCSP_x,FDCSP_x,NPY1R_x,NPY1R_x,NPY1R_x,NPY1R_x,TAT_x
CALML5_x,CALML5_x,CALML5_x,TAT_x,TAT_x,TAT_x,TAT_x,TAT_x,TAT_x,S100A7_x
S100A9_x,S100A9_x,S100A9_x,CALML5_x,SFRP1_x,SFRP1_x,SFRP1_x,CALML5_x,CALML5_x,MUCL1_x
MUCL1_x,SFRP1_x,SFRP1_x,SFRP1_x,CALML5_x,CALML5_x,CALML5_x,SFRP1_x,MUCL1_x,CLIC6_x
TFF3_x,TFF3_x,TAT_x,S100A9_x,S100A9_x,S100A9_x,S100A9_x,S100A9_x,CLIC6_x,MTRNR2L1_x
SFRP1_x,SLPI_x,TFF3_x,MUCL1_x,MUCL1_x,MUCL1_x,CLIC6_x,CLIC6_x,SFRP1_x,CALML5_x
SLPI_x,MUCL1_x,MUCL1_x,TFF3_x,TFF3_x,CLIC6_x,MUCL1_x,MUCL1_x,MTRNR2L1_x,SFRP1_x
STC2_x,STC2_x,GFRA1_x,GFRA1_x,PPP1R1B_x,TFF3_x,CYP4Z1_x,CYP4Z1_x,S100A9_x,S100A9_x
AGR3_x,GFRA1_x,SLPI_x,PPP1R1B_x,GFRA1_x,PPP1R1B_x,PPP1R1B_x,MTRNR2L1_x,CYP4Z1_x,CYP4Z1_x
KRT5_x,KRT5_x,KRT5_x,SLPI_x,SLPI_x,SLPI_x,MTRNR2L1_x,KRT14_x,KRT14_x,KRT14_x
PPP1R1B_x,AGR3_x,STC2_x,KRT5_x,KRT5_x,KRT5_x,TFF3_x,PPP1R1B_x,PPP1R1B_x,UGT2B11_x
GFRA1_x,PPP1R1B_x,AGR3_x,AGR3_x,CLIC6_x,CYP4Z1_x,SLPI_x,KRT5_x,KRT5_x,CRABP1_x
NAT1_x,CRABP1_x,PPP1R1B_x,S100A8_x,AGR3_x,GFRA1_x,KRT14_x,TFF3_x,CRABP1_x,PPP1R1B_x
CRABP1_x,S100A8_x,S100A8_x,STC2_x,S100A8_x,S100A8_x,GFRA1_x,SLPI_x,TFF3_x,KRT5_x
EEF1A2_x,TAT_x,NAT1_x,CRABP1_x,CYP4Z1_x,KRT14_x,KRT5_x,CRABP1_x,UGT2B11_x,TFF3_x
KRT14_x,NAT1_x,CRABP1_x,CLIC6_x,KRT14_x,AGR3_x,S100A8_x,GFRA1_x,SLPI_x,SLPI_x
BMPR1B_x,KRT14_x,KRT14_x,KRT14_x,CRABP1_x,CRABP1_x,CRABP1_x,UGT2B11_x,GFRA1_x,GFRA1_x
S100A8_x,GATA3_x,CLIC6_x,NAT1_x,STC2_x,MTRNR2L1_x,UGT2B11_x,S100A8_x,S100A8_x,S100A8_x
GATA3_x,EEF1A2_x,GATA3_x,CYP4Z1_x,GATA3_x,STC2_x,AGR3_x,AGR3_x,SLC7A2_x,BMPR1B_x
SLC7A2_x,BMPR1B_x,CYP4Z1_x,GATA3_x,MTRNR2L1_x,UGT2B11_x,GATA3_x,GATA3_x,AGR3_x,SLC7A2_x
SCUBE2_x,CYP4Z1_x,EEF1A2_x,BMPR1B_x,NAT1_x,GATA3_x,STC2_x,SLC7A2_x,BMPR1B_x,SERPINA6_x
TAT_x,SLC7A2_x,ESR1_x,MTRNR2L1_x,UGT2B11_x,NAT1_x,BMPR1B_x,BMPR1B_x,SERPINA6_x,S100P_x
CYP4Z1_x,CLIC6_x,BMPR1B_x,SERPINA6_x,SLC7A2_x,BMPR1B_x,SLC7A2_x,SERPINA6_x,GATA3_x,AGR3_x
